period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2023,251,France,203,Czechia,100590,"Cereals; maize (corn), other than seed",X,Export,1801173.386,1553257.0,1553257.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,10026.447,1720.0,1720.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,2248.209,271.0,271.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,2248.209,271.0,271.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,295267.748,32152.0,32152.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,295267.748,32152.0,32152.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,457.928,92.0,92.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,425.219,84.0,84.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,32.709,8.0,8.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,12745927.982,4252506.0,4252506.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,101.398,9.0,9.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,87.224,19.0,19.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,12744857.302,4252347.0,4252347.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,882.057,131.0,131.0,kg
